requested_time,route,direction,stop_name,eta,delayed
1453822560,72,Eastbound,North Ave & California,6.0,0
1453823760,72,Eastbound,North Ave & California,11.0,0
1453824660,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453825260,72,Eastbound,North Ave & California,6.0,0
1453826340,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453826820,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453827420,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453828080,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453829040,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453829520,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453829580,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453830060,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453830660,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453899780,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453899660,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453899720,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453899840,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453900740,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453900920,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453901760,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453901820,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453902780,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453903440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453903620,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453904340,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453905180,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453906080,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453907100,72,Eastbound,North Ave & California,6.0,0
1453907940,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453908180,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453908960,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453909560,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453911360,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453911480,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453911840,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453912440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453913340,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453913460,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453913640,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453914540,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453915140,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453916040,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453916040,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453916400,72,Eastbound,North Ave & California,11.0,0
1453917120,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453986300,72,Eastbound,North Ave & California,6.0,0
1453986480,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453986960,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453987320,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453987980,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453988520,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453988700,72,Eastbound,North Ave & California,1.0,0
1453989240,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453989600,72,Eastbound,North Ave & California,1.0,0
1453990980,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453991400,72,Eastbound,North Ave & California,1.0,0
1453992600,72,Eastbound,North Ave & California,6.0,0
1453993620,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453994520,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453995360,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453996140,72,Eastbound,North Ave & California,1.0 to 6.0,0
1453996500,72,Eastbound,North Ave & California,11.0,0
1453997520,72,Eastbound,North Ave & California,11.0 to 16.0,0
1453998000,72,Eastbound,North Ave & California,6.0,0
1453999020,72,Eastbound,North Ave & California,6.0 to 11.0,0
1453999740,72,Eastbound,North Ave & California,16.0 to 21.0,0
1453999740,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454000100,72,Eastbound,North Ave & California,11.0,0
1454001120,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454001660,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454002440,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454002440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454003040,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454003580,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454072460,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454072580,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454072640,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454073540,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454073780,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454074440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454074620,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454075580,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454076180,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454076360,72,Eastbound,North Ave & California,6.0,0
1454077080,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454078220,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454078940,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454079900,72,Eastbound,North Ave & California,6.0,0
1454080740,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454081820,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454082540,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454083800,72,Eastbound,North Ave & California,11.0,0
1454084460,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454085300,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454086680,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454086680,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454086800,72,Eastbound,North Ave & California,1.0,0
1454087280,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454087940,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454088960,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454089320,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454090100,72,Eastbound,North Ave & California,11.0,0
1454158860,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454159700,72,Eastbound,North Ave & California,16.0,0
1454159760,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454160660,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454161320,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454162400,72,Eastbound,North Ave & California,31.0,0
1454162400,72,Eastbound,North Ave & California,16.0,0
1454162460,72,Eastbound,North Ave & California,1.0,0
1454163360,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454163300,72,Eastbound,North Ave & California,1.0,0
1454164320,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454164260,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454164920,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454165640,72,Eastbound,North Ave & California,11.0,0
1454166360,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454167320,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454168040,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454167980,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454168760,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454168760,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454169600,72,Eastbound,North Ave & California,16.0,0
1454170860,72,Eastbound,North Ave & California,21.0 to 26.0,0
1454170680,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454170740,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454171640,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454172240,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454173080,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454173860,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454174220,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454175120,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454176320,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454245920,72,Eastbound,North Ave & California,26.0 to 31.0,0
1454245860,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454247180,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454247420,72,Eastbound,North Ave & California,6.0 to 11.0,0
