requested_time,route,direction,stop_name,eta,delayed
1454246498,Blue,5,Damen,5.5 to 10.0,0
1454247078,Blue,5,Damen,14.5 to 19.0,0
1454247817,Blue,5,Damen,10.0 to 14.5,0
1454248540,Blue,5,Damen,23.5 to 28.0,0
1454248471,Blue,5,Damen,10.0,0
1454249260,Blue,5,Damen,19.0 to 23.5,0
1454249077,Blue,5,Damen,1.0 to 5.5,0
1454249908,Blue,5,Damen,19.0,0
1454249952,Blue,5,Damen,1.0 to 5.5,0
1454250797,Blue,5,Damen,19.0,0
1454250806,Blue,5,Damen,1.0 to 5.5,0
1454251231,Blue,5,Damen,10.0 to 14.5,0
1454251896,Blue,5,Damen,5.5 to 10.0,0
1454252376,Blue,5,Damen,14.5 to 19.0,0
1454252501,Blue,5,Damen,1.0 to 5.5,0
1454253080,Blue,5,Damen,10.0 to 14.5,0
1454253937,Blue,5,Damen,10.0 to 14.5,0
1454254298,Blue,5,Damen,14.5 to 19.0,0
1454254338,Blue,5,Damen,1.0 to 5.5,0
1454254838,Blue,5,Damen,10.0 to 14.5,0
1454255251,Blue,5,Damen,14.5 to 19.0,0
1454255256,Blue,5,Damen,1.0 to 5.5,0
1454255599,Blue,5,Damen,5.5 to 10.0,0
1454256148,Blue,5,Damen,14.5 to 19.0,0
1454256095,Blue,5,Damen,1.0 to 5.5,0
1454256575,Blue,5,Damen,10.0,0
1454256996,Blue,5,Damen,14.5 to 19.0,0
1454257351,Blue,5,Damen,5.5 to 10.0,0
1454257896,Blue,5,Damen,14.5 to 19.0,0
1454258371,Blue,5,Damen,10.0,0
1454258788,Blue,5,Damen,14.5 to 19.0,0
1454259195,Blue,5,Damen,5.5 to 10.0,0
1454259637,Blue,5,Damen,14.5 to 19.0,0
1454260086,Blue,5,Damen,5.5 to 10.0,0
1454260571,Blue,5,Damen,14.5 to 19.0,0
1454261013,Blue,5,Damen,5.5 to 10.0,0
1454261494,Blue,5,Damen,14.5 to 19.0,0
1454261727,Blue,5,Damen,5.5 to 10.0,0
1454262215,Blue,5,Damen,10.0 to 14.5,0
1454262512,Blue,5,Damen,19.0,0
1454262548,Blue,5,Damen,1.0 to 5.5,0
1454262877,Blue,5,Damen,10.0,0
1454331814,Blue,5,Damen,19.0,0
1454331779,Blue,5,Damen,1.0 to 5.5,0
1454332017,Blue,5,Damen,5.5 to 10.0,0
1454332371,Blue,5,Damen,10.0 to 14.5,0
1454332679,Blue,5,Damen,14.5 to 19.0,0
1454332711,Blue,5,Damen,1.0 to 5.5,0
1454333002,Blue,5,Damen,5.5 to 10.0,0
1454333257,Blue,5,Damen,10.0 to 14.5,0
1454333496,Blue,5,Damen,14.5 to 19.0,0
1454333499,Blue,5,Damen,1.0 to 5.5,0
