utc_timestamp,date_string,prediction,california_train,weather,feels_like,tweet,amen_train,uber_surging,uber_eta,72_bus,52_bus
1453994102,2016-01-28 09:15,1,1.0 to 4.0,Partly Cloudy,22.8333333333 to 27.6666666667,0,13.5 to 17.6666666667,1.0 to 1.15,5.0 to 6.5,6.0 to 11.0,1.0 to 6.0
1453995003,2016-01-28 09:30,2,1.0 to 4.0,Partly Cloudy,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.15 to 1.3,6.5 to 8.0,6.0 to 11.0,16.0 to 21.0
1453995904,2016-01-28 09:45,1,13.0 to 16.0,Partly Cloudy,27.6666666667 to 32.5,0,17.6666666667 to 21.8333333333,1.15 to 1.3,6.5 to 8.0,1.0 to 6.0,1.0 to 6.0
1453996801,2016-01-28 10:00,1,13.0 to 16.0,Mostly Cloudy,27.6666666667 to 32.5,0,1.0 to 5.16666666667,1.15 to 1.3,6.5 to 8.0,6.0 to 11.0,6.0 to 11.0
1453997702,2016-01-28 10:15,3,10.0 to 13.0,Mostly Cloudy,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,21.0 to 26.0
1453998603,2016-01-28 10:30,2,13.0 to 16.0,Mostly Cloudy,27.6666666667 to 32.5,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,16.0 to 21.0
1453999504,2016-01-28 10:45,3,1.0 to 4.0,Mostly Cloudy,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,16.0 to 21.0,16.0 to 21.0
1454000401,2016-01-28 11:00,2,13.0 to 16.0,Overcast,27.6666666667 to 32.5,0,5.16666666667 to 9.33333333333,1.15 to 1.3,6.5 to 8.0,6.0 to 11.0,21.0 to 26.0
1454001302,2016-01-28 11:15,3,16.0 to 19.0,Overcast,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,6.5 to 8.0,11.0 to 16.0,16.0 to 21.0
1454002203,2016-01-28 11:30,3,13.0 to 16.0,Overcast,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,6.5 to 8.0,16.0 to 21.0,21.0 to 26.0
1454003104,2016-01-28 11:45,3,10.0 to 13.0,Overcast,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,11.0 to 16.0
1454072403,2016-01-29 07:00,1,16.0 to 19.0,Partly Cloudy,22.8333333333 to 27.6666666667,0,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,16.0 to 21.0,1.0 to 6.0
1454073304,2016-01-29 07:15,1,1.0 to 4.0,Partly Cloudy,22.8333333333 to 27.6666666667,0,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,1.0 to 6.0
1454074205,2016-01-29 07:30,2,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,5.0 to 6.5,1.0 to 6.0,11.0 to 16.0
