utc_timestamp,date_string,California_train,weather,feels_like,tweet,Damen_train,uber_surging,uber_eta,72_bus,52_bus
1453817702,2016-01-26 08:15,1.0,Overcast,22.8333333333 to 27.6666666667,0,1.0,1.0,2.0 to 3.5,5.16666666667 to 10.3333333333,15.5 to 20.6666666667
1453818603,2016-01-26 08:30,15.0,Overcast,18.0 to 22.8333333333,0,1.0 to 5.5,1.0,2.0 to 3.5,5.16666666667 to 10.3333333333,5.16666666667 to 10.3333333333
1453819504,2016-01-26 08:45,15.0,Overcast,18.0 to 22.8333333333,0,14.5 to 19.0,1.0,2.0,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1453820401,2016-01-26 09:00,1.0 to 4.5,Overcast,18.0 to 22.8333333333,0,1.0,1.3,5.0 to 6.5,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1453821302,2016-01-26 09:15,1.0,Overcast,18.0 to 22.8333333333,0,14.5 to 19.0,1.3,5.0 to 6.5,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1453822203,2016-01-26 09:30,15.0 to 18.5,Overcast,18.0 to 22.8333333333,0,14.5 to 19.0,1.0,5.0 to 6.5,10.3333333333 to 15.5,15.5 to 20.6666666667
1453823104,2016-01-26 09:45,11.5 to 15.0,Overcast,18.0 to 22.8333333333,0,19.0,1.0,11.0,5.16666666667 to 10.3333333333,15.5 to 20.6666666667
1453824003,2016-01-26 10:00,15.0,Overcast,18.0 to 22.8333333333,0,19.0,1.0,2.0 to 3.5,10.3333333333 to 15.5,0.0 to 5.16666666667
1453824904,2016-01-26 10:15,18.5 to 22.0,Overcast,18.0 to 22.8333333333,0,10.0 to 14.5,1.0,3.5 to 5.0,10.3333333333 to 15.5,20.6666666667 to 25.8333333333
1453825805,2016-01-26 10:30,1.0 to 4.5,Overcast,18.0 to 22.8333333333,0,19.0,1.0,3.5 to 5.0,5.16666666667 to 10.3333333333,15.5 to 20.6666666667
1453826706,2016-01-26 10:45,15.0 to 18.5,Overcast,18.0 to 22.8333333333,0,10.0 to 14.5,1.0,5.0,15.5 to 20.6666666667,5.16666666667 to 10.3333333333
1453827601,2016-01-26 11:00,15.0 to 18.5,Overcast,18.0 to 22.8333333333,0,10.0 to 14.5,1.0,5.0,10.3333333333 to 15.5,10.3333333333 to 15.5
1453828502,2016-01-26 11:15,18.5 to 22.0,Overcast,18.0 to 22.8333333333,0,14.5 to 19.0,1.0,5.0,5.16666666667 to 10.3333333333,20.6666666667 to 25.8333333333
1453829403,2016-01-26 11:30,15.0,Overcast,18.0 to 22.8333333333,0,10.0 to 14.5,1.0,5.0,15.5 to 20.6666666667,10.3333333333 to 15.5
1453830304,2016-01-26 11:45,8.0 to 11.5,Overcast,18.0 to 22.8333333333,0,1.0,1.0,5.0,10.3333333333 to 15.5,25.8333333333 to 31.0
