'distance_to_stop', 'rt', 'vehicle_id', 'prdtm', 'tmstmp', 'rtdir', 'stpnm'
3760,72,1932,20160128 13:36,20160128 13:29,Westbound,North Ave & Damen
9236,72,1991,20160128 13:42,20160128 13:29,Eastbound,North Ave & California
11657,72,8146,20160128 13:49,20160128 13:29,Westbound,North Ave & Damen
5930,52,1715,20160128 13:37,20160128 13:29,Southbound,California & Milwaukee (Blue Line)
9702,52,1206,20160128 13:41,20160128 13:29,Northbound,California & Le Moyne
9886,52,1714,20160128 13:51,20160128 13:29,Southbound,California & Milwaukee (Blue Line)
1242,72,8146,20160128 13:47,20160128 13:44,Westbound,North Ave & Damen
5878,72,8173,20160128 13:52,20160128 13:45,Eastbound,North Ave & California
10231,72,8156,20160128 13:57,20160128 13:44,Eastbound,North Ave & California
4524,52,1714,20160128 13:50,20160128 13:44,Southbound,California & Milwaukee (Blue Line)
12620,52,1840,20160128 14:00,20160128 13:44,Northbound,California & Le Moyne
14784,52,1443,20160128 14:03,20160128 13:44,Southbound,California & Milwaukee (Blue Line)
3849,72,1420,20160128 14:06,20160128 13:59,Westbound,North Ave & Damen
10067,72,8108,20160128 14:13,20160128 13:59,Eastbound,North Ave & California
13915,72,1215,20160128 14:18,20160128 13:59,Eastbound,North Ave & California
886,52,1840,20160128 14:01,20160128 13:59,Northbound,California & Le Moyne
1545,52,1443,20160128 14:02,20160128 13:59,Southbound,California & Milwaukee (Blue Line)
3537,52,1380,20160128 14:03,20160128 13:59,Northbound,California & Le Moyne
2479,72,1007,20160128 14:18,20160128 14:14,Westbound,North Ave & Damen
4600,72,1215,20160128 14:21,20160128 14:14,Eastbound,North Ave & California
9235,72,1162,20160128 14:29,20160128 14:14,Westbound,North Ave & Damen
1700,52,1638,20160128 14:17,20160128 14:14,Northbound,California & Le Moyne
7169,52,1188,20160128 14:22,20160128 14:14,Northbound,California & Le Moyne
9380,52,1206,20160128 14:26,20160128 14:14,Southbound,California & Milwaukee (Blue Line)
6704,72,1061,20160128 14:37,20160128 14:29,Eastbound,North Ave & California
6445,72,1991,20160128 14:40,20160128 14:29,Westbound,North Ave & Damen
8434,72,2008,20160128 14:40,20160128 14:29,Eastbound,North Ave & California
1846,52,1129,20160128 14:31,20160128 14:29,Northbound,California & Le Moyne
3565,52,1840,20160128 14:35,20160128 14:29,Southbound,California & Milwaukee (Blue Line)
9886,52,1380,20160128 14:46,20160128 14:28,Southbound,California & Milwaukee (Blue Line)
3712,72,8141,20160128 14:49,20160128 14:44,Eastbound,North Ave & California
3854,72,8173,20160128 14:51,20160128 14:44,Westbound,North Ave & Damen
8558,72,8128,20160128 14:55,20160128 14:44,Eastbound,North Ave & California
2535,52,1648,20160128 14:48,20160128 14:44,Northbound,California & Le Moyne
7434,52,1203,20160128 14:53,20160128 14:44,Northbound,California & Le Moyne
9763,52,1638,20160128 14:58,20160128 14:44,Southbound,California & Milwaukee (Blue Line)
